name,address,phone,whatsapp,lat,lng
"Shahrukh Shaik","lovely rose, iskcon juhu","","70455 23795","19.1129554341764","72.8262261480733"
"Vk pet's dog walking services in Mumbai","Gawade chawl, Azad Rd, gavathan, Gundavali, Andheri East, Mumbai, Maharashtra 400069, India","","9999999999","19.1206207","72.8518036"
"Dog's walkers","Hanuman Nagar, Worli, Mumbai, Maharashtra 400030, India","08108271510","08108271510","19.0097809","72.8236641"
"Jack dog walker","Juhu Tara Rd, royal, Juhu, Mumbai, Maharashtra 400054, India","09819160170","09819160170","19.0921436","72.8286236"
"Professional Dog walker and Trainer","3, Carmel Society, Valentine Vihar, St John Baptist Rd, Mount Mary, Bandra West, Mumbai, Maharashtra 400050, India","09920884425","09920884425","19.0501796","72.8268763"
"Rahul Dog Walking Services","building number 1 Mauli Krupa, room number 214, Vashi Naka, Mhada Colony Rd, Mahul Gaon, New RNA Colony, MMRDA Colony, Chembur, Mumbai, Maharashtra 400074, India","09028220093","09028220093","19.0324321","72.8998106"
"Platypus- Dog Walking in Mumbai","Krishna Vasant Sagar, D-202, ठाकुर, Phase 1, Thakur Village, Kandivali East, Mumbai, Maharashtra 400101, India","08451880963","08451880963","19.2100481","72.8736556"
"Tail Leash Dog walking services Mumbai","02 3, Saki Vihar Rd, Manohar Nagar, Marol, Andheri East, Mumbai, Maharashtra 400072, India","","9999999999","19.1245746","72.8923092"
"Love and Leash - Premium Dog Walking & Pet Care","Essbel CHS, B-603, Akurli Rd, Kandivali, Green Hills, Lokhandwala Twp, Kandivali East, Mumbai, Maharashtra 400101, India","09145395282","09145395282","19.1949667","72.8755268"
"Ajay Professional Dog Walker","Meher villa bldg 1st floor room no 104 1st Carter road, Road, behind BMC pump Hous, opp. Dhaval Ganga, Chimbai Village, Bandra West, Mumbai, Maharashtra 400050, India","","9999999999","19.0580973","72.8222225"
"Rahul's dog working services","building number 1 Mauli Krupa, room number 214, Vashi Naka, Mhada Colony Rd, Mahul Gaon, New RNA Colony, MMRDA Colony, Chembur, Mumbai, Maharashtra 400074, India","07977510529","07977510529","19.0324321","72.8998106"
"Viju pet's dog walking services","Ishwar kripa, plot No.216, Sanpada East, Sector 5, Sanpada, Navi Mumbai, Maharashtra 400705, India","09324637726","09324637726","19.0617596","73.0144775"
